Conventions,G,BADC-CSV,1
title,G,Midas-open: Station site metadata for uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point collection
observation_station,G,UK land surface observing network
location,G,UK
collection_name,G,midas-open
collection_version_number,G,dataset-version-201901
date_valid,G,2019-01-29
history,G,Created 2019-01-29
last_revised_date,G,2019-01-29
comments,G,This file contains geographic and temporal information for the stations covered in this version of the uk-mean-wind-obs part of the MIDAS-open collection
comments,G,The temporal range given here is in relation to the data temporal range available for this station within this dataset and may differ from other dates for the given station in other MIDAS-open datasets
comments,G,The geographic location relates to the currently recorded station location to 3 decimal places of latitude and longitude
comments,G,If more precise geographical location information is required please contact the Met Office directly as there may be data management restrictions for stations located on private property
comments,G,Further station-specific details are given in each station folder in the associated capability files
comments,G,For fuller station metadata please use the MIDAS station search tool available from the Centre for Environmental Data Analysis
coordinate_variable,src_id,x
long_name,src_id,The unique MIDAS identifier for the station,1
type,src_id,int
comments,src_id,This is a unique ID ascribed to this station within the MIDAS system. It is used across MIDAS as a way to join related data and metadata together where a site may have used different identifiers for different meteorological reports over time.
long_name,station_name,The name for this station,1
type,station_name,char
long_name,station_file_name,The filename used for this station,1
type,station_file_name,char
comments,station_file_name,The filename is derived from the station name but replacing spaces with - as necessary
long_name,historic_county,the historic county this station is within,1
type,historic_county,char
comments,historic_county,Within MIDAS stations are associated with a set of fixed historic county definitions for the UK and are not amended to reflect modern county boundary changes. For more details refer to the MIDAS documentation.
long_name,station_latitude,The station latitude (WGS84),degrees
type,station_latitude,float
long_name,station_longitude,The station longitude (WGS84),degrees
type,station_longitude,float
long_name,station_elevation,The station elevation,m
type,station_elevation,float
comments,station_elevation,The station elevation in metres above mean sea level
long_name,first_year,first year of data associated with this station in this dataset,year
type,first_year,float
comments,first_year,This relates to the first year of available data within this version of this dataset. The first year may differ for this station within other datasets of Midas-open
long_name,last_year,last year of data associated with this station in this dataset,year
type,last_year,float
comments,last_year,This relates to the last year of data associated with this station in this dataset. It does not indicate whether the station is currently operational and the last year may differ for this station within other datasets of Midas-open
comments,last_year,The first and last year indicate simply the year of first and last available data in this dataset. They do not indicate the availability of data between those dates or availability of data within other datasets of Midas-open
data
src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
00166,FRASERBURGH,fraserburgh,aberdeenshire,57.697,-2.003,18,1969,1990
00167,CULTERTY NO 2,culterty-no-2,aberdeenshire,57.325,-2.003,3,1995,1999
00170,PETERHEAD HARBOUR,peterhead-harbour,aberdeenshire,57.502,-1.774,15,1979,2017
00176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1995,1998
00177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,2017
00181,MYLNEFIELD,mylnefield,angus,56.457,-3.073,31,1959,2001
00183,DUNDEE,dundee,angus,56.47,-2.94,45,1984,1984
00185,FORFAR NO 3,forfar-no-3,angus,56.683,-2.929,91,1986,1994
00186,FORFAR NO 2,forfar-no-2,angus,56.657,-2.775,67,1981,1983
00187,WHITEHILLOCKS,whitehillocks,angus,56.906,-2.907,258,2010,2010
00190,BELL ROCK,bell-rock,angus,56.436,-2.386,39,1969,1987
00193,MONTROSE,montrose,angus,56.746,-2.481,55,1987,1987
00194,CRIANLARICH,crianlarich,perthshire-in-central-region,56.419,-4.659,174,1975,1975
00195,TYNDRUM NO 3,tyndrum-no-3,perthshire-in-central-region,56.419,-4.661,168,1998,1998
00201,BALQUHIDDER NO 2,balquhidder-no-2,perthshire-in-central-region,56.355,-4.397,136,1982,1992
00205,ARDTALNAIG,ardtalnaig,perthshire-in-tayside-region,56.528,-4.112,130,1971,2001
00208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1970,2001
00209,TUMMEL BRIDGE,tummel-bridge,perthshire-in-tayside-region,56.706,-4.011,148,1969,1992
00212,STRATHALLAN AIRFIELD,strathallan-airfield,perthshire-in-tayside-region,56.326,-3.729,35,1992,2017
00214,FASKALLY,faskally,perthshire-in-tayside-region,56.718,-3.77,94,1987,1987
00221,PERTH,perth,perthshire-in-tayside-region,56.399,-3.458,23,1979,1979
00223,PERTH AERODROME,perth-aerodrome,perthshire-in-tayside-region,56.437,-3.372,118,1982,1996
00226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1995,2001
00235,LEUCHARS,leuchars,fife,56.377,-2.862,10,1957,2017
00237,BELLISTON,belliston,fife,56.239,-2.796,82,1979,2001
00239,FIFE NESS,fife-ness,fife,56.279,-2.586,12,1997,2000
00240,BLACKBURN S WKS,blackburn-s-wks,west-lothian-in-lothian-region,55.872,-3.589,131,1975,1978
00246,TURNHOUSE,turnhouse,midlothian-in-lothian-region,55.951,-3.348,35,1957,1999
00247,"EDINBURGH, EAST CRAIGS",edinburgh-east-craigs,midlothian-in-lothian-region,55.948,-3.307,61,1959,2001
00250,BUSH HOUSE,bush-house,midlothian-in-lothian-region,55.86,-3.208,184,1962,1999
00251,"EDINBURGH, BLACKFORD HILL",edinburgh-blackford-hill,midlothian-in-lothian-region,55.923,-3.191,134,1976,2015
00262,NUNRAW ABBEY,nunraw-abbey,east-lothian,55.921,-2.652,197,1979,2001
00263,HADDINGTON,haddington,east-lothian,55.96,-2.751,41,1989,1999
00264,DUNBAR,dunbar,east-lothian,56.004,-2.528,23,1967,2001
00265,MERTOUN,mertoun,berwickshire,55.581,-2.562,69,1961,1969
00267,BLYTHE,blythe,berwickshire,55.737,-2.662,262,1999,1999
00268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1987,2017
00273,STANHOPE FARM,stanhope-farm,peebleshire,55.552,-3.392,226,1959,1988
00274,BLYTH BRIDGE,blyth-bridge,peebleshire,55.703,-3.368,253,1992,1999
00275,WEST LINTON,west-linton,peebleshire,55.754,-3.356,244,1982,1982
00279,BOWHILL,bowhill,selkirkshire,55.541,-2.906,168,1989,1989
00284,GREYCROOK,greycrook,roxburghshire,55.567,-2.637,76,1975,2001
00285,CARTERHOUSE,carterhouse,roxburghshire,55.358,-2.519,308,1997,1997
00286,FLOORS CASTLE,floors-castle,roxburghshire,55.603,-2.468,59,1995,1995
00288,SOURHOPE,sourhope,roxburghshire,55.475,-2.247,221,1996,2001
00293,REDESDALE,redesdale,northumberland,55.253,-2.263,235,1994,2001
00300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1995,1995
00307,NEWCASTLE WEATHER CENTRE,newcastle-weather-centre,tyne-and-wear,54.977,-1.598,52,1978,2005
00315,BOULMER,boulmer,northumberland,55.421,-1.601,23,1975,2017
00317,BURNHOPE,burnhope,durham,54.821,-1.715,238,1986,2000
00322,LOW ETHERLEY,low-etherley,durham,54.655,-1.74,162,1994,1994
00326,DURHAM,durham,durham,54.768,-1.586,102,1970,2009
